n_variables,trial,method,time
700,8,highs-ipm,1.7612220029998298
700,8,highs-ds,3.1055601870000373
700,9,highs-ipm,1.7662602499999593
700,9,highs-ds,3.088783109999895
750,0,highs-ipm,1.8207858760001727
750,0,highs-ds,4.95057751000013
750,1,highs-ipm,1.820074821000162
750,1,highs-ds,4.94435903700014
750,2,highs-ipm,1.822713677000138
750,2,highs-ds,4.928822475000288
750,3,highs-ipm,1.821022800999799
750,3,highs-ds,4.934524906999741
750,4,highs-ipm,1.818241252000007
750,4,highs-ds,4.9262896669997644
750,5,highs-ipm,1.8208957050001118
750,5,highs-ds,4.936649723999835
750,6,highs-ipm,1.8207006100001308
750,6,highs-ds,4.961126964000414
750,7,highs-ipm,1.8224887759997728
750,7,highs-ds,4.93220869400011
750,8,highs-ipm,1.8199707410003612
750,8,highs-ds,4.943286175000139
750,9,highs-ipm,1.8222856849997697
750,9,highs-ds,4.956882135000342
800,0,highs-ipm,2.4294223239999155
800,0,highs-ds,5.904047068000182
800,1,highs-ipm,2.4313746009997885
800,1,highs-ds,5.849090830000023
800,2,highs-ipm,2.4264894200000526
800,2,highs-ds,5.902826355999878
800,3,highs-ipm,2.4324370250001266
800,3,highs-ds,5.892664980000063
800,4,highs-ipm,2.4307743680001295
800,4,highs-ds,5.877313373000106
800,5,highs-ipm,2.4320936480003184
800,5,highs-ds,5.897379270999863
800,6,highs-ipm,2.431471370000054
800,6,highs-ds,5.899108950000027
800,7,highs-ipm,2.430335932000162
800,7,highs-ds,5.880202215999816
800,8,highs-ipm,2.436109023999961
800,8,highs-ds,5.858211579999988
800,9,highs-ipm,2.429184859000088
800,9,highs-ds,5.882079210000029
850,0,highs-ipm,2.875064636999923
850,0,highs-ds,7.7123441629996705
850,1,highs-ipm,2.873029856999892
850,1,highs-ds,7.729262637999909
850,2,highs-ipm,2.8821250579999287
850,2,highs-ds,7.77510318900022
850,3,highs-ipm,2.8817912119998255
850,3,highs-ds,7.757625534999988
850,4,highs-ipm,2.873727597999732
850,4,highs-ds,7.724872853000306
850,5,highs-ipm,2.87728805200004
850,5,highs-ds,7.7337580429998525
850,6,highs-ipm,2.8800522520000413
850,6,highs-ds,7.716901328999938
850,7,highs-ipm,2.8746669719998863
850,7,highs-ds,7.707633777999945
850,8,highs-ipm,2.8730300020001778
850,8,highs-ds,7.731654008000078
850,9,highs-ipm,2.8774048969999058
850,9,highs-ds,7.751552294999783
900,0,highs-ipm,3.781556346999878
900,0,highs-ds,9.938714505999997
900,1,highs-ipm,3.7931861090000893
900,1,highs-ds,9.954164860000219
900,2,highs-ipm,3.7961647119996087
900,2,highs-ds,9.880268444000194
900,3,highs-ipm,3.787824678999641
900,3,highs-ds,9.966374251000161
900,4,highs-ipm,3.7849247650001416
900,4,highs-ds,9.905746550000003
900,5,highs-ipm,3.7908477710002444
900,5,highs-ds,9.938499441000204
900,6,highs-ipm,3.8008794020001915
900,6,highs-ds,9.893240083999899
900,7,highs-ipm,3.784157330999733
900,7,highs-ds,9.997466024000005
900,8,highs-ipm,3.802773458000047
900,8,highs-ds,9.953248924000036
900,9,highs-ipm,3.794801998999901
900,9,highs-ds,9.91280269500021
950,0,highs-ipm,5.135295303000021
950,0,highs-ds,12.001132743000198
950,1,highs-ipm,4.986329203999958
950,1,highs-ds,11.95381440499932
950,2,highs-ipm,4.994796187999782
950,2,highs-ds,11.98513149899918
950,3,highs-ipm,5.004585603000123
950,3,highs-ds,12.069061850999788
950,4,highs-ipm,4.988007515999925
950,4,highs-ds,12.006506744000035
950,5,highs-ipm,4.9874503979999645
950,5,highs-ds,11.982963022000149
950,6,highs-ipm,5.001935517000675
950,6,highs-ds,11.95748145700054
950,7,highs-ipm,4.9915300950005985
950,7,highs-ds,12.001464962999307
950,8,highs-ipm,5.010146968999834
950,8,highs-ds,11.982199169000523
950,9,highs-ipm,4.991129099000318
950,9,highs-ds,12.103860965999957
1000,0,highs-ipm,4.845415124000283
1000,0,highs-ds,13.653001689999655
1000,1,highs-ipm,4.799917223999728
1000,1,highs-ds,13.59671015099957
1000,2,highs-ipm,4.806049607999739
1000,2,highs-ds,13.963417152001057
1000,3,highs-ipm,4.858296721000443
1000,3,highs-ds,14.142767276000086
1000,4,highs-ipm,4.779644698000993
1000,4,highs-ds,13.703722238999035
1000,5,highs-ipm,4.7362335229991
1000,5,highs-ds,13.490489539000919
1000,6,highs-ipm,4.729353233000438
1000,6,highs-ds,13.844626802001585
1000,7,highs-ipm,4.72044569100035
1000,7,highs-ds,13.587628227000096
1000,8,highs-ipm,4.740539341999465
1000,8,highs-ds,14.697877668000729
1000,9,highs-ipm,5.160067044000243
1000,9,highs-ds,19.000969030001215
